Entity,Code,Year,$1.90 - total number of people below poverty line
Albania,ALB,1996,29167
Albania,ALB,2002,47927
Albania,ALB,2005,25915
Albania,ALB,2008,9244
Albania,ALB,2012,24646
Albania,ALB,2014,45674
Albania,ALB,2015,7061
Albania,ALB,2016,11802
Albania,ALB,2017,12312
Albania,ALB,2018,3462
Albania,ALB,2019,0
Algeria,DZA,1988,1527940
Algeria,DZA,1995,1617370
Algeria,DZA,2011,164744
Angola,AGO,2000,5963769
Angola,AGO,2008,7473465
Angola,AGO,2018,15374994
Argentina - urban,,1980,110960
Argentina - urban,,1986,321182
Argentina - urban,,1987,382906
Argentina - urban,,1991,370218
Argentina - urban,,1992,722646
Argentina - urban,,1993,840090
Argentina - urban,,1994,809338
Argentina - urban,,1995,1512228
Argentina - urban,,1996,1651404
Argentina - urban,,1997,1522378
Argentina - urban,,1998,1784806
Argentina - urban,,1999,1793640
Argentina - urban,,2000,2232258
Argentina - urban,,2001,3556080
Argentina - urban,,2002,5714019
Argentina - urban,,2003,2687826
Argentina - urban,,2004,1986014
Argentina - urban,,2005,1459857
Argentina - urban,,2006,1155774
Argentina - urban,,2007,934186
Argentina - urban,,2008,902129
Argentina - urban,,2009,859954
Argentina - urban,,2010,534381
Argentina - urban,,2011,426273
Argentina - urban,,2012,439431
Argentina - urban,,2013,391208
Argentina - urban,,2014,362156
Argentina - urban,,2016,427714
Argentina - urban,,2017,371187
Argentina - urban,,2018,559947
Argentina - urban,,2019,537539
Argentina - urban,,2020,685646
Armenia,ARM,1996,450398
Armenia,ARM,1999,377222
Armenia,ARM,2001,438112
Armenia,ARM,2002,319008
Armenia,ARM,2003,236953
Armenia,ARM,2004,164309
Armenia,ARM,2005,80074
Armenia,ARM,2006,63367
Armenia,ARM,2007,47758
Armenia,ARM,2008,25959
Armenia,ARM,2009,38548
Armenia,ARM,2010,28038
Armenia,ARM,2011,34774
Armenia,ARM,2012,26448
Armenia,ARM,2013,51203
Armenia,ARM,2014,44900
Armenia,ARM,2015,36882
Armenia,ARM,2016,34147
Armenia,ARM,2017,25938
Armenia,ARM,2018,41606
Armenia,ARM,2019,31914
Armenia,ARM,2020,11501
Australia,AUS,1981,148300
Australia,AUS,1985,157786
Australia,AUS,1989,125145
Australia,AUS,1995,135501
Australia,AUS,2001,145095
Australia,AUS,2003,198423
Australia,AUS,2004,100491
Australia,AUS,2008,76759
Australia,AUS,2010,76928
Australia,AUS,2014,117022
Australia,AUS,2016,120650
Australia,AUS,2018,124187
Austria,AUT,1987,0
Austria,AUT,1994,19713
Austria,AUT,1995,79008
Austria,AUT,1997,16659
Austria,AUT,2000,19357
Austria,AUT,2003,26980
Austria,AUT,2004,6673
Austria,AUT,2005,12645
Austria,AUT,2006,7451
Austria,AUT,2007,30883
Austria,AUT,2008,39208
Austria,AUT,2009,54752
Austria,AUT,2010,41039
Austria,AUT,2011,34859
Austria,AUT,2012,52006
Austria,AUT,2013,28662
Austria,AUT,2014,19166
Austria,AUT,2015,58528
Austria,AUT,2016,58017
Austria,AUT,2017,27984
Austria,AUT,2018,50246
Austria,AUT,2019,56888
Azerbaijan,AZE,1995,544152
Azerbaijan,AZE,2001,209491
Azerbaijan,AZE,2002,3501
Azerbaijan,AZE,2003,0
Azerbaijan,AZE,2004,0
Azerbaijan,AZE,2005,0
Bangladesh,BGD,1983,33427523
Bangladesh,BGD,1985,31025785
Bangladesh,BGD,1988,42440588
Bangladesh,BGD,1991,45903941
Bangladesh,BGD,1995,40353394
Bangladesh,BGD,2000,43686943
Bangladesh,BGD,2005,34922719
Bangladesh,BGD,2010,28301392
Bangladesh,BGD,2016,22629510
Belarus,BLR,1993,9147
Belarus,BLR,1995,73800
Belarus,BLR,1998,1188129
Belarus,BLR,1999,1063112
Belarus,BLR,2000,731694
Belarus,BLR,2001,320021
Belarus,BLR,2002,209581
Belarus,BLR,2003,141482
Belarus,BLR,2004,31220
Belarus,BLR,2005,35955
Belarus,BLR,2006,10348
Belarus,BLR,2007,8008
Belarus,BLR,2008,0
Belarus,BLR,2009,2744
Belarus,BLR,2010,0
Belarus,BLR,2011,0
Belarus,BLR,2012,0
